run_id,nodes_expanded,planning_time,raw_waypoints,raw_path_length,smooth_waypoints,smooth_path_length,improvement_percent,ee_travel_distance,max_joint_jump
1,0,1.4561467170715332,7,6.44097480716413,5,5.554392863037346,13.764716842870772,2.0709380586369193,2.214214214407681
2,0,1.5496735572814941,5,4.1916454412272905,5,4.1916454412272905,0.0,1.0059616294271325,1.4058853321590248
3,0,1.5015606880187988,6,4.974791366876318,4,4.2216776180792,15.138599656893758,2.1711864460058625,1.5343085609072595
4,0,1.5806357860565186,5,3.9550218734902263,4,3.4587050294843475,12.549029054241089,1.7044251335469114,1.3661577974012393
5,0,1.4571318626403809,6,4.423493889292696,5,4.394997939268336,0.6441955327063043,1.0988867411036878,2.074667047053853
6,0,1.5111610889434814,6,4.917264115293973,4,4.0318696140627335,18.00583577517083,1.9847275888474554,1.5763138426218763
7,0,1.4544777870178223,4,3.438365735415477,4,3.438365735415477,0.0,1.687637005228183,1.2612952568948377
8,0,1.3917689323425293,4,3.6075443332044257,4,3.6075443332044257,0.0,0.9588564741046226,1.449905563369641
9,0,1.2365531921386719,5,4.497600170368672,4,3.818838172367045,15.091648263300128,1.9138640053850169,1.4528153358534752
10,0,1.6676158905029297,6,5.0035740637594,4,4.173679378271649,16.58603779843354,1.4664696999059539,1.6101900252477073
11,0,1.2303006649017334,4,3.9225594214034016,4,3.9225594214034016,0.0,0.9499961867047276,1.3364787519186239
12,0,1.4333851337432861,5,4.554617034910482,4,4.026039937907212,11.60530277193017,2.2683967857385126,1.6526209069796862
13,0,1.1599717140197754,4,3.033276514401231,4,3.033276514401231,0.0,1.3541822140174211,1.3277468512425543
14,0,1.316206693649292,5,4.483153418723973,5,4.483153418723973,0.0,1.8635078965787653,1.2818198267945997
15,0,1.247365951538086,5,3.6115807347591957,5,3.6115807347591957,0.0,1.4226650182122353,1.1483779698008474
16,0,1.5702040195465088,6,5.080354247580856,4,4.066257830515172,19.961135929616958,1.8903940959836758,1.6181419229873288
17,0,1.28019118309021,5,4.268696429694729,4,3.744130943713037,12.288657547362902,1.5213250025239753,1.3359567143457385
18,0,1.651386022567749,6,5.097615245363844,5,4.856561258328183,4.728759928574322,2.2955313205764347,1.5146688286459558
19,0,1.2268760204315186,4,3.4292989999762282,4,3.4292989999762282,0.0,1.4971158516078509,1.3554216537345503
20,0,1.2438087463378906,4,3.1130671277370348,4,3.1130671277370348,0.0,1.56021358563664,1.29986989988847
AVG,0.0,1.4083210825920105,5.1,4.302224748532179,4.3,3.9588821155941263,7.018195955055039,1.6343140369885993,1.4908428151127473
