run_id,nodes_expanded,planning_time,raw_waypoints,raw_path_length,smooth_waypoints,smooth_path_length,improvement_percent,ee_travel_distance,max_joint_jump
1,0,2.1378753185272217,179,11.333010692295229,4,6.569735844288326,42.03009224411326,3.6044917798003446,2.4830106922952395
2,0,0.7883524894714355,111,7.666784147774625,4,5.629889553364733,26.567783247179655,2.56310813539891,2.216784147774632
3,0,0.7255837917327881,74,6.010190157094975,4,5.7816123943791276,3.8031702282499857,1.4338116329638573,2.4101901570949775
4,0,1.4274506568908691,71,5.769023819360825,5,5.171761828491961,10.352912547603887,1.8978403004153819,2.3190238193608286
5,0,0.9780278205871582,82,6.416435390090141,4,4.268157363962067,33.480864304283045,1.7685127213824912,1.8983548605757243
6,0,1.0011851787567139,128,9.290423014137968,5,7.479199862305421,19.49559400122326,3.378409691467338,2.7894181775362124
7,0,0.6521379947662354,86,7.317198747089924,4,6.382787533444944,12.770067425277997,3.4250547208167372,2.8638989625246065
8,0,1.0680429935455322,74,5.842781494396435,4,5.092845324705372,12.835259549074273,2.3212624536062973,2.065350541008922
9,0,0.8295547962188721,101,6.913566546119072,4,4.742615443738078,31.401319245269388,1.1569891739988976,2.0631037947354396
10,0,0.8311693668365479,95,7.580709815204035,6,6.632481166503156,12.508441449626407,2.301761635921933,2.8908203569079305
11,0,1.5383458137512207,73,5.640099640342902,5,5.1963454492758245,7.867843112078388,2.129975427028632,2.090099640342898
12,0,0.9366970062255859,80,6.729805111108265,4,6.093907247156126,9.448978885027747,3.8485873252974354,2.8298051111082656
13,0,1.5711405277252197,159,10.273229067902076,5,6.472165338936232,36.9996979902062,3.127151554037001,2.522974997217779
14,0,0.9984517097473145,73,5.719659180215167,4,4.506409070133573,21.21193014923579,1.4288742604616327,2.0568413143025426
15,0,0.6450276374816895,86,6.385346633666828,4,5.276296228595461,17.368679708379233,2.836621141359057,2.1853466336668257
16,0,2.385906457901001,162,10.091095061024651,5,6.099538479270917,39.555237143395125,2.4223514481222277,1.992990585371567
17,0,2.2041895389556885,136,8.650574716791326,4,5.451381208930841,36.98243888525282,1.4276561462892627,2.2488658658076806
18,0,0.859792947769165,103,7.395623740377336,4,5.134871975541593,30.568777485161736,1.8967851727735325,2.2478941773550276
19,0,0.7135672569274902,99,7.643748582951631,3,5.944453663833897,22.231172319139148,2.5035788181990024,3.1507050808822545
20,0,1.1060097217559814,91,6.973324804339764,4,5.336436383631394,23.473572028219202,3.0151692813049533,2.418957351287498
AVG,0.0,1.1699254512786865,103.15,7.48213151811416,4.3,5.663144568024453,22.547691597399826,2.424399641032246,2.3872218133578422
