run_id,nodes_expanded,planning_time,raw_waypoints,raw_path_length,smooth_waypoints,smooth_path_length,improvement_percent,ee_travel_distance,max_joint_jump
1,0,0.7222898006439209,5,5.319523683386152,4,5.222514170291548,1.8236503654938563,1.4101601764626226,2.0338635427166754
2,0,0.5029788017272949,4,6.1212255209607465,4,6.1212255209607465,0.0,3.469208078862478,2.221225520960748
3,0,0.7945694923400879,7,8.824676429682311,4,6.3451967607225725,28.097117086580813,1.7750229339952153,2.4705203310402553
4,0,1.9166829586029053,4,6.990671816533402,4,6.990671816533402,0.0,3.4410459529684028,3.0500000000000003
5,0,1.5297431945800781,8,8.760305531438668,4,7.006661442293462,20.018069950320704,2.2892821820696385,2.6985718134538823
6,0,2.141261577606201,11,8.552032463093152,4,6.448556063950691,24.5962162587683,2.975859303262882,2.652032463093149
7,0,0.9819555282592773,5,6.124529977174144,4,5.906780046403446,3.5553737443076106,2.2283992720277026,2.474529977174143
8,0,0.7074534893035889,5,7.038770731650313,4,6.957338628760491,1.1569080169589463,4.032387335630232,2.899175232537766
9,0,0.8319666385650635,7,9.504342932397206,5,9.165145110833757,3.568871872323065,3.5943925674885193,3.154342932397208
10,0,1.5026800632476807,8,6.761305793657648,4,4.86045174996992,28.113712080154674,2.255557699130334,1.682505880667075
11,0,1.6051766872406006,9,9.963308888673144,4,7.0241575715508375,29.499751036161292,2.3531496474017586,3.0608486828776926
12,0,1.9581379890441895,9,10.309684056365404,5,7.969461854965028,22.699262058913206,3.669589981000621,2.6176239963861305
13,0,0.6885502338409424,6,5.46700770347204,4,5.037881432083023,7.849381136164912,2.2095599672229143,2.1170077034720425
14,0,0.4117448329925537,5,4.709490197925626,4,4.580643284450724,2.7358993874040727,1.333669558272856,1.6594901979256285
15,0,0.7478611469268799,7,5.901189607418753,4,5.067253639443391,14.131658588413586,1.2948884478019287,1.9160640320246356
16,0,1.880969524383545,7,8.960709602357088,4,6.2253421532639015,30.526236988794466,2.3752816609452787,2.4607096023570927
17,0,1.2331593036651611,7,7.04193390195756,5,6.775051401465506,3.789903515252613,2.3977537346256663,2.291933901957562
18,0,0.7038414478302002,5,6.654952078469125,4,6.566998346016901,1.3216283365402703,2.0719765585748853,2.462046267547781
19,0,2.967578172683716,9,7.800957868514489,4,5.889482444045932,24.50308611694314,2.3042076803362543,2.35095786851449
20,0,1.7898743152618408,7,4.506278332573748,4,3.8220605443534,15.18365572926249,0.9761073494300144,1.606278332573748
AVG,0.0,1.2809237599372865,6.75,7.265644855885036,4.15,6.1991436991179345,13.158519113437901,2.4228750043755105,2.3939864139838862
